name,schedule,alternate_url,published_at,salary_from,salary_to,salary_currency,city,company,exp_level,requirement,responsibility
"Стажер, Отдел по исследованию и анализа рынка / Intern, Market Research & Analytics","{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131588474,2026-03-26T17:32:30+0300,,,,Москва,НИЖФАРМ,Нет опыта,"Опытный пользователь MS Office, пользователь Excel (формулы, ВПР, сводные таблицы), знание SQL и <highlighttext>Python</highlighttext> будет плюсом. Внимательность к деталям, аккуратность...",Подготовка технического задания на проведение проектов по маркетинговым исследованиям. Подготовка и сбор материалов к исследованию; участие в разработке анкет и...
Администратор проектов,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131512492,2026-03-24T15:16:03+0300,100000.0,140000.0,RUR,Москва,Star-Staff,Нет опыта,"Знание продуктов MS Office, MS Project. Навыки программирования на <highlighttext>Python</highlighttext> и желание развиваться. Английский язык на уровне чтения технической документации.",Сбор и систематизация информации по работам в рамках проектов. Ведение беклога проектов и формирование предложения по оценке задач. 
Младший куратор (аналитик),"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131942267,2026-04-08T10:20:32+0300,,,,Москва,Центральный банк Российской Федерации (Банк России),Нет опыта,Высшее экономическое образование. Желателен опыт работы SQL. Знания языка <highlighttext>Python</highlighttext> (как преимущество). Умение анализировать финансовую отчетность.,Выполнение функций куратора кредитных потребительских кооперативов (КПК) и микрофинансовых организаций (МФО). Анализ деятельности на предмет наличия нарушений профильного законодательства. 
Стажёр в отдел развития инструментов управления данными,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131881194,2026-04-06T16:03:30+0300,,,,Москва,Альфа-Банк,Нет опыта,"Понимание принципов управления данными (Data Governance, Data Quality, Data Catalog) будет преимуществом. Навыки работы с <highlighttext>Python</highlighttext> для простых скриптов обработки...","Поддержка и развитие инструментов Data Governance (каталог данных, профилирование, контроль качества). Участие в подготовке и актуализации метаданных, правил и политик..."
Разработчик backend BI Visiology,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131961922,2026-04-08T16:38:14+0300,,,,Москва,Промышленные инновации,Нет опыта,"Навыки работы с базами данных, знание SQL, noSQL. Знание <highlighttext>Python</highlighttext>. Понимание работы BI системы. Желание и готовность много и интенсивно...",
Младший риск-аналитик,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131600789,2026-03-27T10:00:30+0300,,130000.0,RUR,Москва,Paylate,Нет опыта,"Высшее образование (математика, физика, ИТ). Можно 3-4 курс (заочных или вечерних отделений). Знание sql, <highlighttext>Python</highlighttext>. Опыт работы будет плюсом...",Подготовка регулярной отчетности. Проведение аналитических исследований и формирование adhoc отчетов. Подготовка презентаций и других материалов по запросам руководителя. 
Аналитик данных,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131292395,2026-03-17T11:09:19+0300,,,,Москва,ГКУ Инфогород,Нет опыта,"Опыт подготовки презентаций в Power Point. Продвинутый пользователь Excel (логические и текстовые функции, сводные таблицы, ВПР). Базовые знания <highlighttext>Python</highlighttext>. ","Собирать, систематизировать и фиксировать информацию в установленной форме из различных источников. Осуществлять построение дашбордов в BI-системе с различными показателями..."
Разработчик алгоритмов и моделей устройств,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/132000273,2026-04-09T17:23:53+0300,120000.0,,RUR,Москва,МНПК АВИОНИКА,Нет опыта,"умение читать или писать код на одном из следующих языков: <highlighttext>Python</highlighttext>, С/С++. - опыт работы с микроконтроллерами. - опыт разработки и...","Анализ и синтез алгоритмов управления для различных типов приводов с целью обеспечения заданных динамических характеристик. - Анализ данных, полученных по результатам..."
Инженер,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/132030341,2026-04-10T15:38:20+0300,,,,Москва,СБЕР,Нет опыта,"Высшее образование в области ИБ (так же студенты от 3 курса и выше). Методы эскалация привилегий в Linux, способы защиты. ",...базе Linux на уязвимости. Тестирование новых механизмов безопасности ОС. Умение писать и читать код/работать с командной оболочкой (<highlighttext>Python</highlighttext>/Bash).
Инженер-конструктор 2-3 категории,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/127794248,2026-04-01T11:08:11+0300,110000.0,160000.0,RUR,Москва,НИКИЭТ,Нет опыта,"Знакомство с программами MCU/MCNP и готовность к изучению. Владение MS Office, Mathcad/<highlighttext>Python</highlighttext>, КОМПАС-3D, Autocad, Nanocad, Creo. ","Разработка конструкции составных частей реакторной установки. Проведение поисковых расчетов по нейтронной физике, теплогидравлике. Разработка исходных данных на расчеты в обоснование..."
Full-stack web-разработчик Junior/Junior+,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131342143,2026-04-11T13:04:59+0300,30000.0,60000.0,RUR,Москва,Seo Performance Agency,Нет опыта,"Hard Skills: Опыт работы с WordPress и/или Bitrix (Bitrix - преимущество). Уверенные знания HTML, CSS, JavaScript (jQuery). Базовые знания PHP...","100+ клиентов в 40+ нишах. Рост посещаемости сайтов клиентов в 3 и более раза. Собственные разработки, сервисы и..."
Инженер-программист (Начинающий специалист),"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131426303,2026-03-20T16:03:12+0300,,150000.0,RUR,Москва,Служба занятости населения города Москвы,Нет опыта,"Высшее техническое образование по одной из следующих специальностей: Знания в области математики, информатики, механики, математического моделирования, электротехники, радиотехники, спектрального анализа...","Разработка программного обеспечения. Знание хотя бы одного из следующих языков программирования: <highlighttext>Python</highlighttext>, JavaScript, C++, C, Java, C#, Go, Rust, TypeScript..."
"Стажер (продажи, аналитика, IT)","{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131852137,2026-04-12T09:04:17+0300,92000.0,,RUR,Москва,Медико-фармацевтический дистрибьютор,Нет опыта,"Высшее образование по специальностям: фармацевтика, статистика, математика, экономика, IT. Знание MS Excel. Опыт работы в 1С будет вашим преимуществом. ","Работа с внешними и внутренними партнерами, заказчиками(в том числе ведение переговоров). Сбор отчетов, обработка в Excel, загрузка в 1..."
